tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Resource datasets,,,,,,,,,,,dct:Dataset,Definition of a dataset,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Resource datasets,,resource,ref,1,TRUE,,Resources,,,,"dct:isPartOf,dct:inSeries",resource of which the dataset is part,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Resource datasets,,name,,1,TRUE,,,,,,"dct:title,dct:identifier",unique dataset name in the model,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Resource datasets,,label,,,,,,,,,,short human readable description,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Resource datasets,,dataset type,ontology_array,,,CatalogueOntologies,Dataset types,,,,dct:type,"defines the type of dataset, e.g. genomic","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Resource datasets,,unit of observation,ontology,,,CatalogueOntologies,Observation targets,,,,,defines what each record in this table describes,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Resource datasets,,keywords,ontology_array,,,CatalogueOntologies,Keywords,,,,dct:theme,enables grouping of table list into topic and to display tables in a tree,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Resource datasets,,description,text,,,,,,,,dct:descriptions,description of the role/function of this table,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Resource datasets,,number of rows,int,,,,,,,,,count of the numbe of records in this table,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Resource datasets,,mapped to,refback,,,,Mapped datasets,,source dataset,,,common dataset models this dataset has been mapped into,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",
Resource datasets,,mapped from,refback,,,,Mapped datasets,,target dataset,,,source datasets that have been mapped to this harmonised dataset,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",
Resource datasets,,since version,,,,,,,,,,When this dataset was introduced,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Resource datasets,,until version,,,,,,,,,,When this dataset was removed if applicable,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
