tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible,computed
Contacts,,,,,,,,,,,"vcard:Kind,vcard:Individual",Listing of contact persons per resource,"DataCatalogueFlat,EMA,CohortsBasis,RWEStaging,NetworksStaging,StudiesStaging",,
Contacts,,resource,ref,1,TRUE,,Resources,,,,,Resource the contact is affiliated with,"DataCatalogueFlat,EMA,CohortsBasis,RWEStaging,NetworksStaging,StudiesStaging",,
Contacts,,role,ontology_array,,,CatalogueOntologies,Contribution types,,,,vcard:hasRole,Type(s) of contribution or role in the resource,"DataCatalogueFlat,EMA,CohortsBasis,RWEStaging,NetworksStaging,StudiesStaging,Fair Genomes",,
Contacts,,role description,text,,,,,,,,,Description of the role,"DataCatalogueFlat,EMA,CohortsExtended,RWEStaging,NetworksStaging,StudiesStaging,Fair Genomes",,
Contacts,,first name,,1,TRUE,,,,,,foaf:firstName,First name of the contact person,"DataCatalogueFlat,EMA,CohortsBasis,RWEStaging,NetworksStaging,StudiesStaging,Fair Genomes",,
Contacts,,last name,,1,TRUE,,,,,,foaf:familyName,Last name of the contact person,"DataCatalogueFlat,EMA,CohortsBasis,RWEStaging,NetworksStaging,StudiesStaging,Fair Genomes",,
Contacts,,display name,,,TRUE,,,,,,"foaf:name,vcard:hasName,vcard:fn",Display name of the contact person,DataCatalogueFlat,,firstName+' '+lastName
Contacts,,statement of consent personal data,bool,,TRUE,,,,,,,"Indicate whether this person consents to display the following personal data in the catalogue (which is openly accessible): title, name, email, photo, orcid ID, institute, department, expertise, discipline and role within the resource. These data-items may partly be extracted from the UMCG and/or RUG employee pages. The consent also includes future linkages with other national and international catalogues and platforms to increase visibility and findability (e.g. BBMRI-ERIC, NARCIS) of UMCG-resources. Contributors without a positive statement of consent will not be shown in the UMCG Research Data Catalogue",UMCGCohortsStaging,,
Contacts,,prefix,,,,,,,,,,"Surname prefix, if applicable","DataCatalogueFlat,EMA,CohortsExtended,RWEStaging,NetworksStaging,StudiesStaging",,
Contacts,,initials,,,,,,,,,,Initials of the contact person,"DataCatalogueFlat,EMA,CohortsExtended,RWEStaging,NetworksStaging,StudiesStaging",,
Contacts,,title,ontology,,,CatalogueOntologies,Titles,,,,foaf:title,Title of the contact person,"DataCatalogueFlat,EMA,CohortsExtended,RWEStaging,NetworksStaging,StudiesStaging",,
Contacts,,organisation,ref,,,,Organisations,resource,,,foaf:Organization,Affiliated organisation of the contact person,"DataCatalogueFlat,EMA,CohortsExtended,RWEStaging,NetworksStaging,StudiesStaging",,
Contacts,,organisation,ref,,,,Organisations,,,,foaf:Organization,Affiliated organisation of the contact person,"FAIR Genomes,Beacon v2",,
Contacts,,email,email,,if(resource?.hricore === true) 'This field is mandatory for HRICore compatibility',,,,,,"vcard:hasEmail,foaf:mbox",Contact's email address,"DataCatalogueFlat,EMA,CohortsBasis,RWEStaging,NetworksStaging,StudiesStaging,Fair Genomes",,
Contacts,,orcid,,,,,,,,,dcterms:identifier,Orcid of the contact person,"DataCatalogueFlat,EMA,CohortsExtended,RWEStaging,NetworksStaging,StudiesStaging",,
Contacts,,homepage,hyperlink,,,,,,,,"vcard:url,foaf:workplaceHomepage,vcard:hasURL",Link to contact's homepage,"DataCatalogueFlat,EMA,CohortsExtended,RWEStaging,NetworksStaging,StudiesStaging",,
Contacts,,photo,file,,,,,,,,foaf:img,Contact's photograph,"DataCatalogueFlat,EMA,CohortsExtended,RWEStaging,NetworksStaging,StudiesStaging",,
Contacts,,expertise,,,,,,,,,,Description of contact's expertise,"DataCatalogueFlat,EMA,CohortsExtended,RWEStaging,NetworksStaging,StudiesStaging",,
