tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Services,,,,,,,,,,,,"Services and capabilities","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,resource,ref,1,TRUE,,Resources,,,,http://purl.org/dc/terms/isPartOf,"Resource offering this capability or service","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,name,text,1,TRUE,,,,,,http://purl.org/dc/elements/1.1/title,"Service name (preferably in English)","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,type,ontology_array,,TRUE,CatalogueOntologies,Service types,,,,http://purl.org/dc/terms/type,"Type(s) of service offered (e.g. microbiome analysis, sample processing)","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,acronym,text,,FALSE,,,,,,,"Short name for the service, if applicable","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,description,text,,TRUE,,,,,,,"Full description of the service (preferably in English)","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,description url,hyperlink,,FALSE,,,,,,,"Link to the service description","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,device,text,,FALSE,,,,,,,"Name of the device(s), in case usage of these is part of the service","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,device system,text,,FALSE,,,,,,,"Name of a software system or platform, if important for the device characteristics","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,technology readiness level,ontology,,FALSE,CatalogueOntologies,Technology Readiness Levels,,,,,"Technology Readiness Level - an indication of service maturity based on self-assessment","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,access policy,text,,TRUE,,,,,,,"Description of the access policy of the service","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,access policy url,hyperlink,,FALSE,,,,,,,"Link to the service access policy","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,unit,text,,FALSE,,,,,,,"Unit used in calculations for costs of service provision","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,unit cost,text,,FALSE,,,,,,,"Cost per unit","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
Services,,quality,refback,,FALSE,,Service qualities,,service,,,"The standards and/or technical specifications that the service is certified or accredited for","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",
