tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description
Publications,,,,,,,,,,,,Publications following bibtex format
Version,,,,,,,,,,,,3.8
Resources,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies"
Extended resources,Resources,,,,,,,,,,,
Data resources,Extended resources,,,,,,,,,,,
Cohorts,Data resources,,,,,,,,,,,Group of individuals sharing a defining demographic characteristic
Collection events,,,,,,,,,,,,List of collection events defined for this resource (fill in at least one collection event)
Subcohorts,,,,,,,,,,,,"List of subcohorts or subpopulations for this resource (fill in at least one subcohort, consider a single cohort without subcohorts as one subcohort)"
Subcohort counts,,,,,,,,,,,,
Documentation,,,,,,,,,,,,Documentation attached to a resource
External identifiers,,,,,,,,,,,,External identifiers belonging to a resource
Resources,,overview,heading,,,,,,,,,General information about this resource
Resources,,id,,1,TRUE,,,,,,,Internal identifier
Resources,,pid,,,,,,,,,,Persistent identifier
Resources,,name,,2,TRUE,,,,,,,Name of the resource
Resources,,acronym,,,,,,,,,,Resource acronym
Resources,,website,hyperlink,,,,,,,,,Link to the website of this resource
Resources,,description,text,,,,,,,,,Short description of this resource
Data resources,,keywords,text,,,,,,,,,Keywords to increase findability of this resource. Try to use words that are not used in the description.
Extended resources,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EU PAS number, UMCG register number)"
Cohorts,,type,ontology_array,,,CatalogueOntologies,Resource types,,,,,"Type of resource, e.g. registry, cohort, biobank"
Cohorts,,design,ontology,,,CatalogueOntologies,Cohort designs,,,,,"The study design of this cohort, i.e. cross-sectional or longitudinal"
Cohorts,,design description,text,,,,,,,,,Short description of the study design of this cohort
Cohorts,,design schematic,file,,,,,,,,,A schematic depiction of the study design of this cohort
Cohorts,,collection type,ontology_array,,,CatalogueOntologies,Collection types,,,,,"The data collection type of this cohort, i.e. retrospective or prospective; if both, select both"
Extended resources,,lead organisation,ref_array,,,SharedStaging,Organisations,,,,,Lead organisation (e.g. research department or group) for this resource
Extended resources,,additional organisations,ref_array,,,SharedStaging,Organisations,,,,,Any additional organisations that contributed to this resource
