tableName,tableExtends,tableType,columnName,formLabel,columnType,key,required,readonly,refSchema,refTable,refLink,refBack,refLabel,defaultValue,validation,visible,computed,semantics,profiles,label,description
Options,,,,,,,,,,,,,,,,,,,TypeTest,,A table with options to test the ref/ref-array/radio/select/multiselect columns
Types,,,,,,,,,,,,,,,,,,,TypeTest,,A table containing a column for each column type
YesNoUnknown,,ONTOLOGIES,,,,,,,,,,,,,,,,,TypeTest,,"Yes, no, unknown"
OntologySmall,,ONTOLOGIES,,,,,,,,,,,,,,,,,TypeTest,,A table with limited options to test the small ontology like columns
OntologySmallTree,,ONTOLOGIES,,,,,,,,,,,,,,,,,TypeTest,,A table with options and parents to test the small tree ontology like columns
OntologyLarge,,ONTOLOGIES,,,,,,,,,,,,,,,,,TypeTest,,A table with options to test the large ontology like columns
OntologyLargeTree,,ONTOLOGIES,,,,,,,,,,,,,,,,,TypeTest,,A table with options and parents to test the large tree ontology like columns
Options,,,option key,,string,1,true,,,,,,,,,,,,TypeTest,,
Options,,,option value,,string,,,,,,,,,,,,,,TypeTest,,
Types,,,String types,,section,,,,,,,,,,,,,,TypeTest,,
Types,,,Simple string types,,heading,,,,,,,,,,,,,,TypeTest,,
Types,,,string type,,string,1,true,,,,,,,,,,,,TypeTest,,
Types,,,string array type,,string_array,,,,,,,,,,,,,,TypeTest,,
Types,,,text type,,text,,,,,,,,,,,,,,TypeTest,,
Types,,,text array type,,text_array,,,,,,,,,,,,,,TypeTest,,
Types,,,Extended string types,,heading,,,,,,,,,,,,,,TypeTest,,
Types,,,auto id type,,auto_id,1,true,,,,,,,,,,,,TypeTest,,
Types,,,json type,,json,,,,,,,,,,,,,,TypeTest,,
Types,,,email type,,email,,,,,,,,,,,,,,TypeTest,,
Types,,,email array type,,email_array,,,,,,,,,,,,,,TypeTest,,
Types,,,hyperlink type,,hyperlink,,,,,,,,,,,,,,TypeTest,,
Types,,,hyperlink array type,,hyperlink_array,,,,,,,,,,,,,,TypeTest,,
Types,,,Numeric types,,section,,,,,,,,,,,,,,TypeTest,,
Types,,,Simple numeric types,,heading,,,,,,,,,,,,,,TypeTest,,
Types,,,int type,,int,,,,,,,,,,,,,,TypeTest,,
Types,,,int array type,,int_array,,,,,,,,,,,,,,TypeTest,,
Types,,,long type,,long,,,,,,,,,,,,,,TypeTest,,
Types,,,long array type,,long_array,,,,,,,,,,,,,,TypeTest,,
Types,,,decimal type,,decimal,,,,,,,,,,,,,,TypeTest,,
Types,,,decimal array type,,decimal_array,,,,,,,,,,,,,,TypeTest,,
Types,,,Extended numeric types,,heading,,,,,,,,,,,,,,TypeTest,,
Types,,,non negative int type,,non_negative_int,,,,,,,,,,,,,,TypeTest,,
Types,,,non negative int array type,,non_negative_int_array,,,,,,,,,,,,,,TypeTest,,
Types,,,Primitive types,,section,,,,,,,,,,,,,,TypeTest,,
Types,,,bool type,,bool,,,,,,,,,,,,,,TypeTest,,
Types,,,bool array type,,bool_array,,,,,,,,,,,,,,TypeTest,,
Types,,,uuid type,,uuid,,,,,,,,,,,,,,TypeTest,,
Types,,,uuid array type,,uuid_array,,,,,,,,,,,,,,TypeTest,,
Types,,,file type,,file,,,,,,,,,,,,,,TypeTest,,
Types,,,Date types,,heading,,,,,,,,,,,,,,TypeTest,,
Types,,,date type,,date,,,,,,,,,,,,,,TypeTest,,
Types,,,date array type,,date_array,,,,,,,,,,,,,,TypeTest,,
Types,,,datetime type,,datetime,,,,,,,,,,,,,,TypeTest,,
Types,,,datetime array type,,datetime_array,,,,,,,,,,,,,,TypeTest,,
Types,,,period type,,period,,,,,,,,,,,,,,TypeTest,,
Types,,,period array type,,period_array,,,,,,,,,,,,,,TypeTest,,
Types,,,Relationship types,,section,,,,,,,,,,,,,,TypeTest,,
Types,,,ref type,,ref,,,,,Options,,,,,,,,,TypeTest,,
Types,,,select type,,select,,,,,Options,,,,,,,,,TypeTest,,
Types,,,select type Label,,select,,,,,Options,,,${optionValue},,,,,,TypeTest,,
Types,,,radio type,,radio,,,,,Options,,,,,,,,,TypeTest,,
Types,,,radio type Label,,radio,,,,,Options,,,${optionValue},,,,,,TypeTest,,
Types,,,ref array type,,ref_array,,,,,Options,,,,,,,,,TypeTest,,
Types,,,checkbox type,,checkbox,,,,,Options,,,,,,,,,TypeTest,,
Types,,,checkbox type Label,,checkbox,,,,,Options,,,${optionValue},,,,,,TypeTest,,
Types,,,multiselect type,,multiselect,,,,,Options,,,,,,,,,TypeTest,,
Types,,,multiselect type Label,,multiselect,,,,,Options,,,${optionValue},,,,,,TypeTest,,
Types,,,ref back type,,ref,,,,,Options,,,,,,,,,TypeTest,,
Types,,,ontology small type,,ontology,,,,,OntologySmall,,,${label},,,,,,TypeTest,,
Types,,,ontology large type,,ontology,,,,,OntologyLarge,,,${label},,,,,,TypeTest,,
Types,,,ontology small array type,,ontology_array,,,,,OntologySmall,,,${label},,,,,,TypeTest,,
Types,,,ontology large array type,,ontology_array,,,,,OntologyLarge,,,${label},,,,,,TypeTest,,
Types,,,ontology small tree type,,ontology,,,,,OntologySmallTree,,,${label},,,,,,TypeTest,,
Types,,,ontology large tree type,,ontology,,,,,OntologyLargeTree,,,${label},,,,,,TypeTest,,
Types,,,ontology small tree array type,,ontology_array,,,,,OntologySmallTree,,,${label},,,,,,TypeTest,,
Types,,,ontology large tree array type,,ontology_array,,,,,OntologyLargeTree,,,${label},,,,,,TypeTest,,
Types,,,Conditional required,,section,,,,,,,,,,,,,,TypeTest,,
Types,,,nameKnown,,bool,,false,,,,,,,,,,,,TypeTest,,
Types,,,nameRequiredIfNameKnownYes,,string,,if(nameKnown) 'Name is required if name is known',,,,,,,,,,,,TypeTest,,
Types,,,nameNoConditional,,string,,false,,,,,,,,,,,,TypeTest,,
Types,,,validationsVisible,,section,,false,,,,,,,,,,,,TypeTest,Validation & visible expressions,
Types,,,year,,int,,false,,,,,,,,"var CurrentDate =new Date().getFullYear() + 1; if (parseInt(year)>= CurrentDate || parseInt(year)<=1599) ""It appears you have entered a year that is not within the allowed range. Please enter a year between 1600 and the current year.""",,,,TypeTest,Year of Birth (validation between 1600 and current year),
Types,,,showVisibleExpressionVariable,,ontology,,false,,,YesNoUnknown,,,${label},,,,,,TypeTest,If put to yes the test visible expression variable will be shown,
Types,,,testVisible,,string,,false,,,,,,,,,"showVisibleExpressionVariable?.name === ""yes""",,,TypeTest,Test visible expression (visible if stringKnown is yes),
Types,,,code,,string,,,,,,,,,,if(code.length<4 || code.length>12)'Code should be 4-12 characters long',,,,TypeTest,What is the code? (validated min 4 - max 12 characters),
Types,,,additionalInfo,,ontology,,,,,YesNoUnknown,,,${label},,,,,,TypeTest,"Additional info, if yes a new header will appear.",
Types,,,additionalInfoHeader,,heading,,,,,,,,,,,"additionalInfo?.name === ""yes""",,,TypeTest,Additional Information (header visible if additional info known is yes),
Types,,,dateStart,,date,,,,,,,,,,"var today =new Date(); var dateFormat=today.toISOString().split('T')[0]; var minDate = new Date('1900-01-01'); var minDateFormat=minDate.toISOString().split('T')[0]; if (dateStart>dateFormat || dateStart<minDateFormat)""It appears you have entered a date that is not within the allowed range. Please enter a date that is between 01-01-1900 and today.""","additionalInfo?.name === ""yes""",,,TypeTest,Date Start (validation between 01-01-1900 and today),
