tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,tableName_old,columnName_old
Version,,,,,,,,,,,,3,,,
Organisations,,,,,,,,,,,,Research departments and research groups,,,
Organisations,,pid,,1,TRUE,,,,,,,Persistent identifier,,,
Organisations,,name,,2,TRUE,,,,,,,Organisation name,,,
Organisations,,type,ontology,,,CatalogueOntologies,OrganisationTypes,,,,,Type of organisation; in which sector is the organisation active?,,,
Organisations,,typeOther,text,,,,,,,,,"If type is 'other', a description of type of organisation",,,
Organisations,,website,,,,,,,,,,"If applicable, a dedicated website for the organisation can be entered.",,,
Organisations,,description,,,,,,,,,,A short description of the organisation,,,
Organisations,,institution,text,,,,,,,,,"University, company, medical centre or research institutes this organisation is part of",,,
Organisations,,institutionAcronym,string,,,,,,,,,Short name of the organisation,,,
Organisations,,country,ontology,,,CatalogueOntologies,Countries,,,,,Country in which the institution head office or coordinating centre is located,,,
Organisations,,features,ontology_array,,,CatalogueOntologies,OrganisationFeatures,,,,,Features that describe this organisation,,,
Resources,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies",,,
Models,Resources,,,,,,,,,,,Data models,,,
DataResources,Resources,,,,,,,,,,,Resources for data,,,
Cohorts,DataResources,,,,,,,,,,,Group of individuals sharing a defining demographic characteristic,,,
Datasources,DataResources,,,,,,,,,,,Collections of data banks covering the same population,,,
Networks,Resources,,,,,,,,,,,Collaborations of multiple institutions,,,
Studies,Resources,,,,,,,,,,,"Collaborations of multiple institutions, addressing research questions using data sources and/or data banks",,,
Resources,,overview,heading,,,,,,,,,General information about this resource,,,
Resources,,pid,,1,TRUE,,,,,,,Persistent identifier,EMA,,
Resources,,acronym,,,,,,,,,,Acronym if applicable,EMA,,
Resources,,name,text,2,TRUE,,,,,,,Name used in European projects,EMA,,
DataResources,,localName,,,,,,,,,,"If different from above, name in the national language",,Resources,localName
Networks,,type,ontology_array,,,CatalogueOntologies,NetworkTypes,,,,,"Type of network, e.g. h2020 project",,,
Networks,,features,ontology_array,,,CatalogueOntologies,NetworkFeatures,,,,,Characterizations of the network,,,
Studies,,type,ontology,,,CatalogueOntologies,StudyTypes,,,,,Select 1 of the following types of study,,,
Studies,,typeOther,,,,,,,,,,"If other, describe the type of study",,,
Datasources,,type,ontology_array,,,CatalogueOntologies,DatasourceTypes,,,,,Which of the following families of databanks best describe this data source,EMA,,
Datasources,,typeOther,,,,,,,,,,"If other, describe the type of datasource",EMA,,
DataResources,,keywords,text,,,,,,,,,Keywords to increase findability of this resource. Try to use words that are not used in the description,,Resources,keywords
Resources,,website,,,,,,,,,,Link to the website or homepage,EMA,,
Resources,,leadOrganisation,ref,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,EMA,,
Resources,,organisations,ref_array,,,,Organisations,,,,,List the names of any additional organsiations that contributed to the resource,EMA,,
Resources,,description,text,,,,,,,,,Short description,EMA,,
Datasources,,dateEstablished,date,,,,,,,,,"Date when the data source was first established. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",EMA,,
Resources,,externalIdentifiers,refback,,,,ExternalIdentifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)",,,
Studies,,status,ontology,,,CatalogueOntologies,StudyStatus,,,,,Status of the study,,,
Models,,releaseFrequency,int,,,,,,,,,Refreshing rate (in months),,,
Cohorts,,contactEmail,,,,,,,,,,Contact e-mail address for this cohort,,,
Resources,,contacts,refback,,,,Contacts,,resource,,,Listing who is/has been involved in the creation and maintenance of this resource,EMA,Resources,contributors
Cohorts,,type,ontology_array,,,CatalogueOntologies,ResourceTypes,,,,,"Type of resource, e.g. registry, cohort, biobank",,,
Cohorts,,typeOther,,,,,,,,,,"If other, describe the type of resource",,,
Cohorts,,design,ontology,,,CatalogueOntologies,CohortDesigns,,,,,"The study design of this cohort, i.e. cross-sectional or longitudinal",,,
Cohorts,,designDescription,text,,,,,,,,,Short description of the study design of this cohort,,,
Cohorts,,designSchematic,file,,,,,,,,,A schematic depiction of the study design of this cohort,,,
Cohorts,,collectionType,ontology_array,,,CatalogueOntologies,CollectionTypes,,,,,"The data collection type of this cohort, i.e. retrospective or prospective; if both, select both",,,
Resources,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc.",,,
DataResources,,population,heading,,,,,,,,,Description of the population that can potentially be captured in the resource,,,
DataResources,,numberOfParticipants,int,,,,,,,,,Total number of individuals for which data is collected,,Resources,numberOfParticipants
DataResources,,numberOfParticipantsWithSamples,int,,,,,,,,,Number of individuals for which samples are collected,,Resources,numberOfParticipantsWithSamples
Datasources,,underlyingPopulation,text,,,,,,,,,Provide a summary description of the underlying population (maximum 100 words) or URL to a description,,Databanks,underlyingPopulation
Resources,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,,,
DataResources,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,Geographical regions where data from this resource largely originate from,EMA,Resources,regions
Cohorts,,inclusionCriteria,text,,,,InclusionCriteria,,,,,Inclusion criteria applied to the participants of this resource,,,
Cohorts,,startYear,int,,,,,,,,,Year when first data was collected,,,
Cohorts,,endYear,int,,,,,,,,,Year when last data was collected. Leave empty if collection is ongoing,,,
Cohorts,,subcohorts,refback,,,,Subcohorts,,resource,,,List of subcohorts or subpopulations for this resource,,,
Datasources,,firstDataCollection,date,,,,,,,,,"The date when data started to be collected or extracted. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",EMA,Resources,startYear
Datasources,,lastDataCollection,date,,,,,,,,,"If data collection in the data source has ceased, on what date did new records last enter the data source? If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",EMA,Resources,endYear
Datasources,,populationAgeGroups,ontology_array,,,CatalogueOntologies,AgeGroups,,,,,Which population age groups are captured in the data source? Select all that are relevant.,EMA,Databanks,populationAgeGroups
Datasources,,populationEntry,ontology_array,,,CatalogueOntologies,PopulationEntry,,,,,Select the possible causes / events that trigger the registration of a person in the data source,EMA,Databanks,populationEntry
Datasources,,populationEntryOther,text,,,,,,,,,"If other, specify the causes of entry to the underlying population",EMA,Databanks,populationEntryOther
Datasources,,populationExit,ontology_array,,,CatalogueOntologies,PopulationExit,,,,,Select the possible causes / events that trigger the de-registration of a person in the data source,EMA,Databanks,populationExit
Datasources,,populationExitOther,text,,,,,,,,,"If other, specify the causes of exit from the underlying population",EMA,Databanks,populationExitOther
Datasources,,populationDisease,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Does the data bank collect information on a specific disease subpopulation (e.g., as in a disease-specific registry)?",EMA,,
Datasources,,populationCoverage,text,,,,,,,,,Estimated percentage of the population covered by the data source in the catchment area. Please describe the denominator.,EMA,,
Datasources,,populationNotCovered,text,,,,,,,,,"Description of the population covered by the data source in the catchment area whose data are not collected, where applicable (e.g.: people who are registered only for private care) ",EMA,,
Datasources,,quantantitativeInformation,refback,,,,QuantitativeInformation,,resource,,,Numerical summaries describing data bank population,EMA,,
DataResources,,contents,heading,,,,,,,,,Data model and contents,,,
Datasources,,areasOfInformation,ontology_array,,,CatalogueOntologies,AreasOfInformationDataSources,,,,,Areas of information that were collected,EMA,Databanks,areasOfInformation
Datasources,,qualityOfLifeOther,text,,,,,,,,,"If other, specify additional quality of life measures",EMA,,
Datasources,,causeOfDeathCodeOther,text,,,,,,,,,"If 'other,' what cause of death vocabulary is used?",EMA,,
Datasources,,indicationVocabularyOther,text,,,,,,,,,"If 'other,' what indication for use vocabulary is used?",EMA,,
Datasources,,geneticDataVocabularyOther,text,,,,,,,,,"If 'other,' what genetic data vocabulary is used?",EMA,,
Datasources,,careSettingOther,text,,,,,,,,,"If 'other,' description of the setting of care",EMA,Databanks,careSettingOther
Datasources,,dataDictionaryAvailable,bool,,,,,,,,,Are a data dictionary and a data model available?,,,
Datasources,,biospecimenCollected,ontology_array,,,CatalogueOntologies,InformedConsents,,,,,"If the data bank contains biospecimens, what types of specimen",,,
Datasources,,languages,ontology_array,,,CatalogueOntologies,Languages,,,,,"Languages in which that the records are recorded (in ISO 639, https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes)",EMA,,
Datasources,,recordTrigger,text,,,,,,,,,"What triggers the creation of a record in the data bank? e.g., hospital discharge, specialist encounter, dispensation of a medicinal product, recording of a congenital anomaly",EMA,,
Cohorts,,collectionEvents,refback,,,,CollectionEvents,,resource,,,List of collection events defined for this resource,,,
Datasources,,unitOfObservation,text,,,,,,,,,"Based on the prompt, what is the unit of observation of a record (e.g., person, prescription)?",,,
Datasources,,multipleEntries,bool,,,,,,,,,"Can there be multiple entries for a single person in the data bank? For example, may a person contribute multiple records to the data bank?",,,
